,shape,pos,count
0,",",PUNCT,15
1,.,PUNCT,8
2,X,PRON,1
3,Xx,PRON,5
4,Xxx,DET,1
5,Xxxx,PRON,1
6,Xxxx,PROPN,4
7,Xxxxx,ADV,1
8,Xxxxx,PROPN,5
9,other.,PUNCT,4
10,x,DET,2
11,xx,ADP,10
12,xx,ADV,1
13,xx,DET,1
14,xx,PART,1
15,xx,PRON,8
16,xx,SCONJ,3
17,xxx,ADP,1
18,xxx,AUX,2
19,xxx,CCONJ,11
20,xxx,DET,10
21,xxx,NOUN,3
22,xxx,NUM,1
23,xxx,PART,2
24,xxx,PRON,1
25,xxx,SCONJ,1
26,xxx,VERB,5
27,xxxx,ADJ,3
28,xxxx,ADP,6
29,xxxx,ADV,14
30,xxxx,AUX,10
31,xxxx,NOUN,19
32,xxxx,NUM,1
33,xxxx,PRON,8
34,xxxx,SCONJ,6
35,xxxx,VERB,25
