,shape,pos,count
0,'x,PART,1
1,'x,PRON,1
2,",",PUNCT,8
3,.,PUNCT,8
4,Xx,PRON,1
5,Xxx,DET,2
6,Xxxx,ADV,1
7,Xxxx,DET,1
8,Xxxxx,ADV,1
9,Xxxxx,NOUN,2
10,other.,PUNCT,8
11,x,DET,2
12,xx,ADP,15
13,xx,ADV,1
14,xx,AUX,7
15,xx,CCONJ,1
16,xx,DET,1
17,xx,PART,1
18,xx,PRON,4
19,xx,VERB,1
20,xxx,ADJ,2
21,xxx,ADV,1
22,xxx,AUX,4
23,xxx,CCONJ,6
24,xxx,DET,10
25,xxx,NOUN,2
26,xxx,PART,1
27,xxx,PRON,1
28,xxx,VERB,4
29,xxx/xx,CCONJ,1
30,xxxx,ADJ,12
31,xxxx,ADP,5
32,xxxx,ADV,5
33,xxxx,AUX,1
34,xxxx,DET,5
35,xxxx,NOUN,44
36,xxxx,PRON,1
37,xxxx,SCONJ,2
38,xxxx,VERB,14
