,shape,pos,count
0,"""""Xxxxx",PUNCT,1
1,"""Xx",INTJ,1
2,"""Xxxxx",VERB,1
3,'x,AUX,2
4,'x,PART,2
5,'x,VERB,2
6,'xx,AUX,2
7,",",PUNCT,19
8,.,PUNCT,7
9,X,PRON,4
10,Xx,ADV,2
11,Xx,AUX,1
12,Xxx,DET,1
13,Xxx,PRON,2
14,Xxx,PROPN,2
15,Xxx,VERB,1
16,Xxxx,ADV,2
17,Xxxxx,PROPN,5
18,other.,CCONJ,1
19,other.,PUNCT,17
20,x,CCONJ,1
21,x,DET,3
22,x'x,PART,2
23,xx,ADP,10
24,xx,ADV,2
25,xx,AUX,1
26,xx,CCONJ,1
27,xx,PART,1
28,xx,PRON,5
29,xx,VERB,1
30,"xx!""""Xxxx",ADV,1
31,xx'x,NUM,1
32,xxx,ADJ,2
33,xxx,ADP,5
34,xxx,ADV,1
35,xxx,AUX,1
36,xxx,CCONJ,6
37,xxx,DET,9
38,xxx,NOUN,3
39,xxx,NUM,2
40,xxx,PRON,12
41,xxx,VERB,5
42,"xxx!""""Xxxx",ADV,1
43,xxxx,ADJ,13
44,xxxx,ADP,6
45,xxxx,ADV,11
46,xxxx,AUX,5
47,xxxx,DET,3
48,xxxx,NOUN,27
49,xxxx,PRON,7
50,xxxx,SCONJ,1
51,xxxx,VERB,19
52,"xxxx!""""Xxxx",NOUN,1
