,shape,pos,count
0,",",PUNCT,13
1,.,NOUN,1
2,.,PUNCT,8
3,X.X.,PROPN,1
4,Xx,PRON,2
5,Xxx,DET,1
6,Xxx,PRON,2
7,Xxxx,PROPN,3
8,Xxxxx,ADJ,4
9,Xxxxx,PRON,1
10,Xxxxx,PROPN,3
11,other.,NUM,7
12,x,DET,2
13,xx,ADP,15
14,xx,AUX,3
15,xx,DET,3
16,xx,NOUN,2
17,xx,PART,1
18,xx,PRON,5
19,xx,VERB,2
20,xxx,ADJ,1
21,xxx,ADP,2
22,xxx,ADV,2
23,xxx,AUX,5
24,xxx,CCONJ,4
25,xxx,DET,8
26,xxx,NUM,2
27,xxx,PRON,2
28,xxx,VERB,2
29,xxxx,ADJ,9
30,xxxx,ADP,2
31,xxxx,ADV,8
32,xxxx,DET,6
33,xxxx,NOUN,28
34,xxxx,NUM,3
35,xxxx,SCONJ,5
36,xxxx,VERB,13
