,shape,pos,count
0,",",NUM,1
1,",",PUNCT,16
2,.,PUNCT,11
3,Xx,ADP,2
4,Xxx,ADP,1
5,Xxx,CCONJ,1
6,Xxx,DET,5
7,Xxxx,PROPN,2
8,Xxxxx,ADJ,1
9,Xxxxx,ADV,1
10,Xxxxx,NOUN,2
11,Xxxxx,PROPN,7
12,other.,PUNCT,5
13,x,DET,4
14,xx,ADP,15
15,xx,AUX,3
16,xx,PART,2
17,xx,PRON,6
18,xx,VERB,1
19,xxx,ADP,1
20,xxx,ADV,2
21,xxx,AUX,3
22,xxx,CCONJ,6
23,xxx,DET,10
24,xxx,NUM,2
25,xxx,VERB,2
26,xxxx,ADJ,23
27,xxxx,ADP,6
28,xxxx,ADV,17
29,xxxx,AUX,3
30,xxxx,DET,4
31,xxxx,NOUN,33
32,xxxx,PRON,5
33,xxxx,SCONJ,4
34,xxxx,VERB,20
