,shape,pos,count
0,'x,PART,2
1,",",PUNCT,10
2,.,PUNCT,5
3,X,DET,1
4,X,PRON,1
5,Xx,INTJ,1
6,Xxx,CCONJ,1
7,Xxx,DET,2
8,Xxx,NUM,1
9,Xxxx,DET,1
10,Xxxxx,PROPN,1
11,other.,PUNCT,10
12,x,DET,2
13,xx,ADP,16
14,xx,CCONJ,1
15,xx,DET,3
16,xx,PART,5
17,xx,PRON,3
18,xx,SCONJ,1
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADV,1
22,xxx,AUX,4
23,xxx,CCONJ,5
24,xxx,DET,16
25,xxx,NOUN,2
26,xxx,NUM,2
27,xxx,PRON,3
28,xxx,VERB,4
29,xxxx,ADJ,10
30,xxxx,ADP,2
31,xxxx,ADV,5
32,xxxx,AUX,5
33,xxxx,DET,4
34,xxxx,NOUN,39
35,xxxx,PRON,6
36,xxxx,SCONJ,2
37,xxxx,VERB,22
