,shape,pos,count
0,",",PUNCT,8
1,.,PUNCT,8
2,Xx,ADP,2
3,Xx,PRON,3
4,Xxx,DET,1
5,Xxx,PRON,1
6,Xxx,PROPN,1
7,Xxxx,PRON,1
8,Xxxxx,ADJ,2
9,Xxxxx,AUX,1
10,Xxxxx,DET,1
11,Xxxxx,PROPN,3
12,other.,NUM,1
13,other.,PUNCT,3
14,x,DET,2
15,x'xxxx,NOUN,1
16,xx,ADP,14
17,xx,CCONJ,2
18,xx,DET,1
19,xx,PART,4
20,xx,PRON,1
21,xx,VERB,3
22,xxx,ADJ,2
23,xxx,ADP,2
24,xxx,AUX,6
25,xxx,CCONJ,5
26,xxx,DET,14
27,xxx,NOUN,2
28,xxx,PART,1
29,xxx,PRON,4
30,xxx,VERB,2
31,xxxx,ADJ,10
32,xxxx,ADP,2
33,xxxx,ADV,12
34,xxxx,AUX,5
35,xxxx,DET,4
36,xxxx,NOUN,27
37,xxxx,NUM,1
38,xxxx,PRON,3
39,xxxx,SCONJ,1
40,xxxx,VERB,12
