,shape,pos,count
0,"""Xxxx",PRON,1
1,",",PUNCT,18
2,.,PUNCT,8
3,X,PRON,3
4,Xx.,PROPN,2
5,Xxx,DET,1
6,Xxx,NUM,1
7,Xxx,PRON,1
8,Xxxx,DET,1
9,Xxxx,PRON,1
10,Xxxxx,PROPN,2
11,other.,PUNCT,10
12,x,DET,2
13,xx,ADP,8
14,xx,ADV,2
15,xx,AUX,1
16,xx,PART,5
17,xx,PRON,7
18,xx,SCONJ,1
19,xxx,ADP,3
20,xxx,ADV,2
21,xxx,AUX,5
22,xxx,CCONJ,12
23,xxx,DET,10
24,xxx,NOUN,3
25,xxx,NUM,2
26,xxx,PRON,5
27,xxx,VERB,5
28,xxxx,ADJ,11
29,xxxx,ADP,3
30,xxxx,ADV,12
31,xxxx,AUX,4
32,xxxx,DET,6
33,xxxx,NOUN,24
34,xxxx,PRON,13
35,xxxx,VERB,29
