,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,10
2,X,PRON,6
3,Xx,ADP,3
4,Xx,PRON,1
5,Xx.,PROPN,1
6,Xxxx,ADV,1
7,Xxxx,DET,1
8,Xxxx,PRON,2
9,Xxxxx,PRON,1
10,Xxxxx,PROPN,1
11,other.,PUNCT,4
12,x,DET,8
13,xx,ADP,15
14,xx,ADV,1
15,xx,AUX,1
16,xx,CCONJ,2
17,xx,DET,1
18,xx,PART,5
19,xx,PRON,6
20,xx,SCONJ,1
21,xxx,ADP,1
22,xxx,ADV,4
23,xxx,AUX,2
24,xxx,CCONJ,6
25,xxx,DET,9
26,xxx,NOUN,4
27,xxx,NUM,3
28,xxx,PRON,5
29,xxx,VERB,6
30,xxxx,ADJ,8
31,xxxx,ADP,7
32,xxxx,ADV,12
33,xxxx,AUX,6
34,xxxx,DET,3
35,xxxx,NOUN,29
36,xxxx,PRON,7
37,xxxx,VERB,23
