,shape,pos,count
0,"""Xxx",INTJ,1
1,",",PUNCT,16
2,.,PUNCT,7
3,X,PRON,2
4,X.,PROPN,2
5,Xx,AUX,1
6,Xxx,NUM,1
7,Xxx,PRON,1
8,Xxxx,PRON,1
9,Xxxx,PROPN,1
10,Xxxxx,ADJ,1
11,Xxxxx,ADV,1
12,Xxxxx,PROPN,10
13,other.,PUNCT,6
14,x,DET,7
15,xx,ADP,22
16,xx,AUX,1
17,xx,PRON,3
18,xxx,ADV,1
19,xxx,AUX,3
20,xxx,CCONJ,4
21,xxx,DET,13
22,xxx,NOUN,5
23,xxx,NUM,1
24,xxx,PRON,3
25,xxx,VERB,1
26,xxxx,ADJ,11
27,xxxx,ADP,4
28,xxxx,ADV,4
29,xxxx,AUX,4
30,xxxx,DET,3
31,xxxx,NOUN,25
32,xxxx,NUM,1
33,xxxx,PRON,4
34,xxxx,VERB,14
35,"xxxx?""""Xxx",ADJ,1
