,shape,pos,count
0,'x,AUX,1
1,",",PUNCT,15
2,.,PUNCT,9
3,Xx,ADP,3
4,Xx,PRON,1
5,Xxxx,ADV,1
6,Xxxx,DET,3
7,Xxxxx,ADV,1
8,Xxxxx,PROPN,3
9,other.,NUM,3
10,other.,PUNCT,5
11,other.,SYM,1
12,x,DET,3
13,xX,PROPN,1
14,xx,ADP,11
15,xx,AUX,10
16,xx,DET,1
17,xx,PART,1
18,xx,PRON,2
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADV,1
22,xxx,AUX,2
23,xxx,CCONJ,4
24,xxx,DET,12
25,xxx,NUM,1
26,xxx,PART,1
27,xxx,PRON,5
28,xxx,VERB,2
29,xxxx,ADJ,17
30,xxxx,ADP,6
31,xxxx,ADV,11
32,xxxx,AUX,4
33,xxxx,CCONJ,1
34,xxxx,DET,7
35,xxxx,NOUN,37
36,xxxx,NUM,8
37,xxxx,PRON,4
38,xxxx,SCONJ,7
39,xxxx,VERB,21
