,shape,pos,count
0,'x,PART,3
1,",",PUNCT,15
2,.,PUNCT,7
3,Xx,ADP,2
4,Xx,PRON,1
5,Xxx,NUM,1
6,Xxxx,ADV,1
7,Xxxxx,ADJ,1
8,Xxxxx,PROPN,5
9,other.,PUNCT,7
10,x,DET,4
11,xx,ADP,13
12,xx,ADV,3
13,xx,PART,2
14,xx,PRON,4
15,xx,VERB,1
16,xxx,ADP,1
17,xxx,AUX,2
18,xxx,CCONJ,9
19,xxx,DET,10
20,xxx,NOUN,4
21,xxx,NUM,2
22,xxx,PART,1
23,xxx,PRON,5
24,xxx,VERB,2
25,xxxx,ADJ,11
26,xxxx,ADP,4
27,xxxx,ADV,5
28,xxxx,AUX,3
29,xxxx,DET,1
30,xxxx,NOUN,28
31,xxxx,PRON,3
32,xxxx,PROPN,1
33,xxxx,SCONJ,1
34,xxxx,VERB,19
