,shape,pos,count
0,'x,PART,2
1,",",PUNCT,13
2,.,PUNCT,10
3,Xx,ADP,1
4,Xx,PRON,1
5,Xxx,CCONJ,1
6,Xxx,DET,1
7,Xxx,NUM,1
8,Xxx,PRON,1
9,Xxxx,ADV,2
10,Xxxx,DET,1
11,Xxxxx,PROPN,13
12,other.,PUNCT,7
13,x,DET,4
14,xx,ADP,17
15,xx,ADV,2
16,xx,CCONJ,2
17,xx,DET,1
18,xx,PART,8
19,xx,PRON,8
20,xx,VERB,1
21,xxx,ADP,3
22,xxx,AUX,5
23,xxx,CCONJ,9
24,xxx,DET,9
25,xxx,NOUN,6
26,xxx,PART,1
27,xxx,PRON,10
28,xxx,SCONJ,1
29,xxx,VERB,7
30,xxxx,ADJ,6
31,xxxx,ADP,8
32,xxxx,ADV,10
33,xxxx,AUX,1
34,xxxx,DET,2
35,xxxx,NOUN,26
36,xxxx,PRON,4
37,xxxx,SCONJ,1
38,xxxx,VERB,28
