,shape,pos,count
0,'x,PART,1
1,",",PUNCT,6
2,.,PUNCT,15
3,Xx,ADP,1
4,Xx,PRON,2
5,Xxx,DET,1
6,Xxx,NUM,1
7,Xxxx,ADV,2
8,Xxxx,PRON,5
9,Xxxxx,ADV,1
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,2
12,other.,PUNCT,2
13,x,DET,2
14,xx,ADP,14
15,xx,ADV,2
16,xx,AUX,3
17,xx,PART,5
18,xx,PRON,2
19,xx,VERB,3
20,xxx,ADJ,2
21,xxx,ADP,1
22,xxx,ADV,1
23,xxx,AUX,6
24,xxx,CCONJ,7
25,xxx,DET,7
26,xxx,NUM,2
27,xxx,PART,1
28,xxx,PRON,3
29,xxx,VERB,7
30,xxxx,ADJ,11
31,xxxx,ADV,8
32,xxxx,AUX,2
33,xxxx,DET,2
34,xxxx,NOUN,21
35,xxxx,PRON,13
36,xxxx,SCONJ,1
37,xxxx,VERB,11
