,shape,pos,count
0,",",PUNCT,8
1,.,PUNCT,7
2,Xx,ADV,1
3,Xx,SCONJ,1
4,Xxxx,NOUN,1
5,Xxxxx,ADJ,1
6,Xxxxx,ADV,1
7,Xxxxx,NOUN,1
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,3
10,other.,PUNCT,1
11,x,DET,5
12,xx,ADP,14
13,xx,AUX,3
14,xx,CCONJ,1
15,xx,DET,2
16,xx,PART,7
17,xx,PRON,1
18,xx,SCONJ,1
19,xx,VERB,4
20,xxx,ADP,2
21,xxx,AUX,6
22,xxx,CCONJ,7
23,xxx,DET,7
24,xxx,PART,2
25,xxx,VERB,3
26,xxxx,ADJ,9
27,xxxx,ADP,1
28,xxxx,ADV,6
29,xxxx,AUX,2
30,xxxx,DET,3
31,xxxx,NOUN,30
32,xxxx,PRON,12
33,xxxx,SCONJ,2
34,xxxx,VERB,17
