,shape,pos,count
0,",",PUNCT,3
1,.,PUNCT,8
2,Xx,ADP,1
3,Xx,PRON,1
4,Xxx,DET,2
5,Xxx.,PROPN,1
6,Xxxx,DET,2
7,Xxxx,PRON,1
8,Xxxx,PROPN,1
9,Xxxxx,ADJ,1
10,Xxxxx,NUM,1
11,Xxxxx,PROPN,13
12,Xxxxx.)—X,PROPN,1
13,other.,NUM,1
14,other.,PUNCT,3
15,x,DET,2
16,xx,ADP,15
17,xx,PART,2
18,xx,PRON,1
19,xxx,ADP,3
20,xxx,ADV,1
21,xxx,AUX,5
22,xxx,CCONJ,8
23,xxx,DET,13
24,xxx,NOUN,4
25,xxx,NUM,1
26,xxx,PRON,3
27,xxx,VERB,2
28,xxxx,ADJ,10
29,xxxx,ADP,5
30,xxxx,ADV,5
31,xxxx,AUX,4
32,xxxx,DET,3
33,xxxx,NOUN,22
34,xxxx,NUM,1
35,xxxx,PRON,3
36,xxxx,PROPN,1
37,xxxx,SCONJ,1
38,xxxx,VERB,18
