,shape,pos,count
0,'x,PART,1
1,",",PUNCT,9
2,.,PUNCT,11
3,X.,NOUN,1
4,XXXX,PROPN,1
5,XXXXxxxx,PROPN,1
6,Xx,SCONJ,1
7,Xxx,DET,2
8,Xxx,NOUN,1
9,Xxxx,ADV,1
10,Xxxx,DET,1
11,Xxxxx,ADJ,1
12,Xxxxx,DET,1
13,Xxxxx,NOUN,1
14,Xxxxx,PROPN,3
15,Xxxxx,VERB,2
16,other.,PUNCT,6
17,x,DET,1
18,xx,ADP,14
19,xx,AUX,3
20,xx,PART,3
21,xx,PRON,1
22,xx,VERB,1
23,xxx,ADP,5
24,xxx,AUX,11
25,xxx,CCONJ,5
26,xxx,DET,13
27,xxx,NOUN,2
28,xxx,PART,2
29,xxx,PRON,3
30,xxx,VERB,3
31,xxxx,ADJ,15
32,xxxx,ADP,1
33,xxxx,ADV,10
34,xxxx,AUX,2
35,xxxx,DET,2
36,xxxx,NOUN,38
37,xxxx,PRON,1
38,xxxx,SCONJ,2
39,xxxx,VERB,14
