,shape,pos,count
0,",",PUNCT,7
1,.,PUNCT,14
2,XX,PROPN,1
3,Xx,DET,2
4,Xxx,DET,1
5,Xxxx,ADJ,1
6,Xxxx,ADV,5
7,Xxxx,DET,1
8,Xxxxx,ADJ,1
9,Xxxxx,NOUN,3
10,other.,SYM,2
11,x,DET,10
12,x,NOUN,1
13,xd,PROPN,1
14,xx,ADP,14
15,xx,AUX,4
16,xx,DET,2
17,xx,PRON,1
18,xx,PROPN,1
19,xx,VERB,3
20,xxd,NOUN,1
21,xxx,ADJ,1
22,xxx,ADP,1
23,xxx,ADV,1
24,xxx,AUX,2
25,xxx,CCONJ,2
26,xxx,DET,15
27,xxx,NOUN,2
28,xxx,NUM,3
29,xxx,PRON,1
30,xxx,VERB,7
31,xxxx,ADJ,15
32,xxxx,ADP,3
33,xxxx,ADV,6
34,xxxx,DET,4
35,xxxx,NOUN,52
36,xxxx,PRON,1
37,xxxx,SCONJ,5
38,xxxx,VERB,15
