,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,9
2,Xx,ADP,2
3,Xx,PRON,1
4,Xxx,CCONJ,1
5,Xxx,DET,3
6,Xxx,PROPN,1
7,Xxxx,ADV,1
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,2
10,other.,PUNCT,2
11,x,DET,2
12,xx,ADP,19
13,xx,ADV,3
14,xx,AUX,1
15,xx,CCONJ,3
16,xx,PART,2
17,xx,PRON,2
18,xx,VERB,1
19,xxx,ADJ,2
20,xxx,ADP,2
21,xxx,ADV,1
22,xxx,AUX,6
23,xxx,CCONJ,7
24,xxx,DET,18
25,xxx,NOUN,3
26,xxx,PART,1
27,xxx,VERB,2
28,xxxx,ADJ,16
29,xxxx,ADP,1
30,xxxx,ADV,9
31,xxxx,AUX,3
32,xxxx,CCONJ,1
33,xxxx,DET,9
34,xxxx,NOUN,32
35,xxxx,PRON,6
36,xxxx,SCONJ,2
37,xxxx,VERB,13
