,shape,pos,count
0,'x,AUX,1
1,'x,PART,1
2,",",PUNCT,10
3,.,PUNCT,14
4,X,PRON,1
5,Xx,AUX,1
6,Xx,INTJ,1
7,Xx,PRON,1
8,Xxx,CCONJ,1
9,Xxx,INTJ,1
10,Xxx,PROPN,2
11,Xxx,VERB,1
12,Xxxx,ADV,1
13,Xxxx,PRON,1
14,Xxxx,PROPN,1
15,Xxxx,VERB,3
16,Xxxxx,ADP,1
17,Xxxxx,ADV,2
18,Xxxxx,PROPN,10
19,other.,PUNCT,25
20,x,DET,4
21,x'x,PART,1
22,xx,ADP,11
23,xx,AUX,3
24,xx,INTJ,1
25,xx,PART,5
26,xx,PRON,7
27,xx,SCONJ,2
28,xx,VERB,2
29,xxx,ADV,1
30,xxx,AUX,4
31,xxx,CCONJ,4
32,xxx,DET,12
33,xxx,NOUN,2
34,xxx,PRON,6
35,xxx,VERB,4
36,xxxx,ADJ,6
37,xxxx,ADP,5
38,xxxx,ADV,7
39,xxxx,AUX,6
40,xxxx,DET,2
41,xxxx,NOUN,31
42,xxxx,PRON,8
43,xxxx,SCONJ,1
44,xxxx,VERB,34
