,shape,pos,count
0,'x,AUX,3
1,'x,PART,1
2,'x,VERB,1
3,",",PUNCT,19
4,.,PUNCT,12
5,X,PRON,5
6,Xx,ADP,1
7,Xx,AUX,1
8,Xx,INTJ,4
9,Xx,PRON,6
10,Xxx,NUM,1
11,Xxxx,ADV,2
12,Xxxx,PROPN,1
13,Xxxxx,ADV,2
14,Xxxxx,NOUN,3
15,Xxxxx,PROPN,4
16,other.,NOUN,1
17,other.,PUNCT,13
18,x,DET,5
19,x'x,PART,5
20,xx,ADP,4
21,xx,ADV,2
22,xx,AUX,2
23,xx,INTJ,2
24,xx,PART,2
25,xx,PRON,8
26,xxx,ADP,2
27,xxx,ADV,2
28,xxx,AUX,6
29,xxx,CCONJ,4
30,xxx,DET,5
31,xxx,INTJ,1
32,xxx,NOUN,3
33,xxx,NUM,3
34,xxx,PRON,4
35,xxx,SCONJ,1
36,xxx,VERB,5
37,xxxx,ADJ,9
38,xxxx,ADP,4
39,xxxx,ADV,14
40,xxxx,AUX,1
41,xxxx,NOUN,12
42,xxxx,NUM,3
43,xxxx,PRON,5
44,xxxx,SCONJ,3
45,xxxx,VERB,22
