,shape,pos,count
0,"""Xxxx",INTJ,1
1,"""Xxxx",NOUN,1
2,",",PUNCT,8
3,.,PUNCT,10
4,X,PRON,2
5,Xx,PRON,1
6,Xxx,DET,1
7,Xxx,NUM,1
8,Xxx,PRON,2
9,Xxxx,PRON,1
10,Xxxx,VERB,1
11,Xxxxx,PROPN,1
12,other.,PUNCT,4
13,x,DET,4
14,xx,ADP,14
15,xx,ADV,2
16,xx,DET,1
17,xx,PART,7
18,xx,PRON,5
19,xx,VERB,2
20,xxx,ADJ,3
21,xxx,ADV,1
22,xxx,AUX,1
23,xxx,CCONJ,10
24,xxx,DET,4
25,xxx,NOUN,3
26,xxx,PRON,12
27,xxx,VERB,10
28,xxxx,ADJ,9
29,xxxx,ADP,7
30,xxxx,ADV,12
31,xxxx,AUX,6
32,xxxx,DET,2
33,xxxx,NOUN,23
34,xxxx,NUM,1
35,xxxx,PRON,8
36,xxxx,SCONJ,4
37,xxxx,VERB,22
