,shape,pos,count
0,'x,PART,2
1,",",PUNCT,11
2,.,PUNCT,6
3,XXX,PROPN,2
4,Xx,ADP,1
5,Xxx,ADP,1
6,Xxx,DET,2
7,Xxxxx,ADJ,1
8,Xxxxx,NOUN,2
9,Xxxxx,PROPN,4
10,Xxxxx,VERB,1
11,XxxxxX,PROPN,1
12,other.,NUM,1
13,other.,PUNCT,4
14,x,DET,2
15,xx,ADP,20
16,xx,AUX,2
17,xx,CCONJ,3
18,xx,VERB,2
19,xxx,ADP,2
20,xxx,ADV,1
21,xxx,AUX,5
22,xxx,CCONJ,6
23,xxx,DET,13
24,xxx,NOUN,1
25,xxx,NUM,1
26,xxx,PART,2
27,xxx,VERB,3
28,xxxx,ADJ,14
29,xxxx,ADP,5
30,xxxx,ADV,4
31,xxxx,AUX,4
32,xxxx,DET,6
33,xxxx,NOUN,38
34,xxxx,PRON,1
35,xxxx,VERB,12
36,"xxxx""",NOUN,1
