,shape,pos,count
0,'x,PART,1
1,",",PUNCT,13
2,.,PUNCT,6
3,Xx,ADP,2
4,Xx,ADV,1
5,Xxx,CCONJ,1
6,Xxx,PROPN,2
7,Xxxx,ADP,1
8,Xxxx,ADV,1
9,Xxxx,PROPN,4
10,Xxxxx,NOUN,1
11,Xxxxx,PROPN,8
12,other.,PUNCT,2
13,x,DET,1
14,xx,ADP,12
15,xx,ADV,1
16,xx,PART,1
17,xx,PRON,5
18,xxx,ADJ,1
19,xxx,ADP,2
20,xxx,AUX,2
21,xxx,CCONJ,12
22,xxx,DET,14
23,xxx,NOUN,3
24,xxx,NUM,1
25,xxx,PRON,6
26,xxx,VERB,2
27,xxxx,ADJ,8
28,xxxx,ADP,8
29,xxxx,ADV,7
30,xxxx,AUX,3
31,xxxx,DET,3
32,xxxx,NOUN,29
33,xxxx,PRON,11
34,xxxx,SCONJ,4
35,xxxx,VERB,19
