,shape,pos,count
0,"""Xx",PUNCT,1
1,",",PUNCT,16
2,.,PUNCT,8
3,XX,PROPN,1
4,Xx,ADV,1
5,Xx,PRON,2
6,Xx.,PROPN,1
7,Xxxx,ADV,2
8,Xxxxx,ADP,1
9,Xxxxx,ADV,1
10,Xxxxx,PROPN,3
11,other.,PUNCT,5
12,x,DET,4
13,xx,ADP,9
14,xx,AUX,3
15,xx,CCONJ,3
16,xx,DET,3
17,xx,PART,6
18,xx,PRON,8
19,xx,VERB,5
20,xxx,ADJ,1
21,xxx,ADP,1
22,xxx,AUX,2
23,xxx,CCONJ,10
24,xxx,DET,1
25,xxx,NUM,2
26,xxx,PART,2
27,xxx,PRON,9
28,xxx,VERB,1
29,xxxx,ADJ,16
30,xxxx,ADP,4
31,xxxx,ADV,15
32,xxxx,AUX,2
33,xxxx,DET,4
34,xxxx,NOUN,22
35,xxxx,NUM,1
36,xxxx,PRON,8
37,xxxx,SCONJ,2
38,xxxx,VERB,23
