,shape,pos,count
0,'xx,VERB,1
1,",",PUNCT,16
2,.,PUNCT,7
3,X,PRON,6
4,X.,PROPN,2
5,Xx,ADP,1
6,Xx,PRON,2
7,Xxx,PRON,2
8,Xxx,VERB,1
9,Xxxx,PROPN,1
10,Xxxxx,ADV,1
11,Xxxxx,PROPN,5
12,Xxxxx,SCONJ,1
13,other.,NUM,2
14,other.,PUNCT,10
15,x,DET,1
16,xx,ADP,15
17,xx,AUX,6
18,xx,PART,4
19,xx,PRON,2
20,xx,SCONJ,1
21,xx,VERB,4
22,xxx,ADJ,1
23,xxx,ADP,1
24,xxx,AUX,4
25,xxx,CCONJ,7
26,xxx,DET,8
27,xxx,NOUN,1
28,xxx,PART,4
29,xxx,PRON,9
30,xxx,VERB,7
31,xxxx,ADJ,8
32,xxxx,ADP,3
33,xxxx,ADV,5
34,xxxx,AUX,5
35,xxxx,DET,5
36,xxxx,INTJ,1
37,xxxx,NOUN,24
38,xxxx,NUM,2
39,xxxx,PRON,4
40,xxxx,SCONJ,1
41,xxxx,VERB,15
