,shape,pos,count
0,"""""X'x",PUNCT,1
1,"""""Xxxxx",PUNCT,1
2,'x,AUX,1
3,'x,PART,3
4,",",PUNCT,19
5,.,PUNCT,8
6,X,PRON,3
7,Xx,PRON,1
8,Xx.,PROPN,1
9,Xxx,DET,1
10,Xxx,PRON,1
11,Xxxx,INTJ,1
12,Xxxx,PROPN,1
13,Xxxxx,PROPN,8
14,other.,PUNCT,12
15,x,DET,1
16,x'x,PART,1
17,xx,ADP,17
18,xx,ADV,1
19,xx,AUX,1
20,xx,DET,1
21,xx,PART,6
22,xx,PRON,6
23,xx,SCONJ,1
24,xx,VERB,4
25,xxx,ADJ,2
26,xxx,ADP,3
27,xxx,ADV,1
28,xxx,AUX,6
29,xxx,CCONJ,7
30,xxx,DET,7
31,xxx,NOUN,5
32,xxx,NUM,1
33,xxx,PART,1
34,xxx,PRON,8
35,xxxx,ADJ,15
36,xxxx,ADP,4
37,xxxx,ADV,7
38,xxxx,AUX,7
39,xxxx,DET,4
40,xxxx,NOUN,32
41,xxxx,PRON,7
42,xxxx,SCONJ,2
43,xxxx,VERB,25
44,"xxxx?""""Xxx",PROPN,1
