,shape,pos,count
0,'x,PART,1
1,",",PUNCT,11
2,.,PUNCT,6
3,X,DET,1
4,X,PRON,5
5,Xxx,NUM,1
6,Xxx,PROPN,1
7,Xxxxx,ADJ,2
8,Xxxxx,ADP,1
9,Xxxxx,ADV,1
10,Xxxxx,PROPN,5
11,Xxxxx,VERB,1
12,other.,PUNCT,9
13,x,DET,2
14,xx,ADP,13
15,xx,NOUN,2
16,xx,PART,4
17,xx,PRON,7
18,xx,PROPN,1
19,xx,SCONJ,1
20,xx,VERB,1
21,xxx,ADP,2
22,xxx,AUX,2
23,xxx,CCONJ,6
24,xxx,DET,12
25,xxx,NOUN,4
26,xxx,NUM,1
27,xxx,PART,1
28,xxx,PRON,2
29,xxx,VERB,4
30,xxxx,ADJ,9
31,xxxx,ADP,10
32,xxxx,ADV,13
33,xxxx,AUX,3
34,xxxx,DET,5
35,xxxx,NOUN,25
36,xxxx,NUM,2
37,xxxx,PRON,7
38,xxxx,SCONJ,3
39,xxxx,VERB,20
40,xxxx!—xxxx,NOUN,1
