,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,6
2,X,DET,1
3,Xx,ADP,1
4,Xxx,ADV,1
5,Xxxx,ADV,1
6,Xxxx,DET,1
7,Xxxx,PRON,1
8,Xxxxx,ADJ,1
9,Xxxxx,NOUN,1
10,Xxxxx,PROPN,1
11,other.,ADJ,1
12,other.,PUNCT,12
13,x,DET,4
14,xx,ADP,14
15,xx,AUX,2
16,xx,PART,4
17,xx,PRON,2
18,xx,VERB,1
19,xxx,ADJ,6
20,xxx,ADP,5
21,xxx,AUX,4
22,xxx,CCONJ,4
23,xxx,DET,21
24,xxx,INTJ,1
25,xxx,NOUN,5
26,xxx,PART,4
27,xxx,PRON,1
28,xxx,VERB,4
29,xxxx,ADJ,11
30,xxxx,ADV,14
31,xxxx,AUX,4
32,xxxx,DET,5
33,xxxx,NOUN,35
34,xxxx,PRON,3
35,xxxx,SCONJ,3
36,xxxx,VERB,17
