,shape,pos,count
0,",",PUNCT,8
1,.,PUNCT,9
2,X,DET,1
3,Xx,SCONJ,2
4,Xxxx,ADV,1
5,Xxxx,DET,1
6,Xxxxx,ADV,2
7,Xxxxx,PROPN,1
8,Xxxxx,SCONJ,1
9,other.,PUNCT,3
10,x,DET,8
11,xx,ADP,9
12,xx,AUX,6
13,xx,PART,4
14,xx,PRON,11
15,xx,SCONJ,1
16,xx,VERB,7
17,xxx,ADJ,1
18,xxx,ADP,5
19,xxx,AUX,4
20,xxx,CCONJ,1
21,xxx,DET,18
22,xxx,NUM,2
23,xxx,PART,3
24,xxx,PRON,2
25,xxx,VERB,2
26,xxxx,ADJ,21
27,xxxx,ADP,4
28,xxxx,ADV,7
29,xxxx,AUX,4
30,xxxx,DET,1
31,xxxx,NOUN,42
32,xxxx,PRON,3
33,xxxx,SCONJ,6
34,xxxx,VERB,18
