,shape,pos,count
0,"""X",PUNCT,1
1,'x,PART,1
2,",",PUNCT,11
3,.,PUNCT,14
4,Xx,ADP,1
5,Xx,INTJ,1
6,Xx,PRON,2
7,Xxx,DET,1
8,Xxx,NUM,1
9,Xxx,PROPN,1
10,Xxxx,PROPN,8
11,Xxxxx,ADV,2
12,Xxxxx,PROPN,5
13,Xxxxx,VERB,1
14,other.,PUNCT,4
15,x,DET,4
16,xx,ADP,14
17,xx,ADV,1
18,xx,DET,1
19,xx,PART,4
20,xx,PRON,3
21,xxx,ADP,2
22,xxx,ADV,2
23,xxx,AUX,2
24,xxx,CCONJ,4
25,xxx,DET,9
26,xxx,NOUN,6
27,xxx,PRON,5
28,xxx,VERB,6
29,xxxx,ADJ,10
30,xxxx,ADP,3
31,xxxx,ADV,6
32,xxxx,AUX,4
33,xxxx,DET,2
34,xxxx,NOUN,25
35,xxxx,PRON,1
36,xxxx,SCONJ,2
37,xxxx,VERB,25
