,shape,pos,count
0,"""Xx",PUNCT,1
1,"""Xxxxx",INTJ,1
2,",",PUNCT,21
3,.,PUNCT,8
4,X,PRON,3
5,X.,PROPN,1
6,Xx,ADV,1
7,Xx.,PROPN,1
8,Xxx,PRON,1
9,Xxxx,AUX,1
10,Xxxx,PROPN,2
11,Xxxxx,ADV,2
12,Xxxxx,NOUN,1
13,Xxxxx,PROPN,20
14,"Xxxxx?""""Xx",PROPN,1
15,other.,PUNCT,11
16,x,DET,2
17,xx,ADP,9
18,xx,AUX,1
19,xx,DET,1
20,xx,PART,3
21,xx,PRON,6
22,xx,VERB,3
23,xxx,ADJ,3
24,xxx,ADP,2
25,xxx,AUX,6
26,xxx,CCONJ,6
27,xxx,DET,16
28,xxx,NOUN,3
29,xxx,NUM,1
30,xxx,PRON,5
31,xxx,SCONJ,1
32,xxx,VERB,1
33,xxxx,ADJ,7
34,xxxx,ADP,7
35,xxxx,ADV,6
36,xxxx,AUX,3
37,xxxx,DET,1
38,xxxx,NOUN,44
39,xxxx,NUM,1
40,xxxx,PRON,2
41,xxxx,SCONJ,1
42,xxxx,VERB,21
43,"xxxx?""""Xx",AUX,1
