,shape,pos,count
0,",",PUNCT,5
1,.,PUNCT,8
2,X,DET,2
3,X,NOUN,1
4,XXX,PROPN,1
5,Xx,PRON,1
6,Xxx,DET,2
7,Xxx,PROPN,2
8,Xxxx,DET,1
9,Xxxx,NOUN,1
10,Xxxx,PROPN,2
11,Xxxxx,NOUN,1
12,Xxxxx,PROPN,2
13,other.,NUM,1
14,other.,PUNCT,13
15,x,DET,5
16,xx,ADP,12
17,xx,AUX,9
18,xx,CCONJ,1
19,xx,DET,2
20,xx,PART,2
21,xx,PRON,1
22,xxx,ADP,5
23,xxx,AUX,3
24,xxx,CCONJ,2
25,xxx,DET,8
26,xxx,NOUN,3
27,xxx,VERB,1
28,xxxx,ADJ,11
29,xxxx,ADP,5
30,xxxx,ADV,4
31,xxxx,NOUN,44
32,xxxx,NUM,1
33,xxxx,PROPN,1
34,xxxx,SCONJ,2
35,xxxx,VERB,17
