,shape,pos,count
0,'x,PART,1
1,",",PUNCT,9
2,.,PUNCT,6
3,Xx,ADV,1
4,Xxx,ADV,1
5,Xxx,DET,2
6,Xxx,PROPN,1
7,Xxxx,PRON,2
8,Xxxx,PROPN,2
9,Xxxxx,PROPN,7
10,Xxxxx,VERB,1
11,other.,PUNCT,4
12,x,DET,2
13,xx,ADP,18
14,xx,ADV,2
15,xx,CCONJ,3
16,xx,PART,1
17,xx,PRON,4
18,xx,SCONJ,1
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADV,1
22,xxx,AUX,4
23,xxx,CCONJ,7
24,xxx,DET,15
25,xxx,NOUN,1
26,xxx,PRON,5
27,xxx,VERB,3
28,xxxx,ADJ,18
29,xxxx,ADP,4
30,xxxx,ADV,5
31,xxxx,AUX,6
32,xxxx,DET,3
33,xxxx,NOUN,30
34,xxxx,NUM,1
35,xxxx,PRON,4
36,xxxx,SCONJ,2
37,xxxx,VERB,17
