,shape,pos,count
0,'x,PART,2
1,",",PUNCT,12
2,.,PUNCT,5
3,Xxx,PRON,3
4,Xxxx,ADP,1
5,Xxxx,PROPN,1
6,Xxxxx,NOUN,1
7,Xxxxx,PROPN,3
8,other.,PUNCT,6
9,x,DET,2
10,xx,ADP,22
11,xx,ADV,2
12,xx,CCONJ,1
13,xx,DET,2
14,xx,PRON,2
15,xxx,ADJ,2
16,xxx,ADP,1
17,xxx,ADV,2
18,xxx,AUX,6
19,xxx,CCONJ,9
20,xxx,DET,18
21,xxx,NOUN,3
22,xxx,PART,1
23,xxx,PRON,7
24,xxx,SCONJ,1
25,xxx,VERB,3
26,xxxx,ADJ,7
27,xxxx,ADP,6
28,xxxx,ADV,6
29,xxxx,AUX,4
30,xxxx,DET,5
31,xxxx,NOUN,39
32,xxxx,PRON,1
33,xxxx,SCONJ,3
34,xxxx,VERB,19
35,xxxx?—xxx,DET,1
