,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,6
2,Xx,SCONJ,1
3,Xxxx,DET,2
4,Xxxxx,NOUN,1
5,Xxxxx,SCONJ,1
6,Xxxxx,VERB,2
7,other.,PUNCT,2
8,x,DET,4
9,xx,ADP,13
10,xx,AUX,3
11,xx,CCONJ,2
12,xx,DET,1
13,xx,PART,5
14,xx,PRON,1
15,xx,SCONJ,1
16,xx,VERB,3
17,xxx,ADJ,1
18,xxx,ADV,2
19,xxx,AUX,6
20,xxx,CCONJ,8
21,xxx,DET,3
22,xxx,NOUN,1
23,xxx,PART,3
24,xxx,PRON,1
25,xxx,VERB,1
26,xxxx,ADJ,13
27,xxxx,ADP,4
28,xxxx,ADV,11
29,xxxx,AUX,2
30,xxxx,DET,3
31,xxxx,INTJ,1
32,xxxx,NOUN,25
33,xxxx,PRON,13
34,xxxx,SCONJ,5
35,xxxx,VERB,25
