,shape,pos,count
0,"""""Xxxxx",PUNCT,2
1,"""Xxxx",INTJ,1
2,"""Xxxxx",INTJ,1
3,'xx,AUX,1
4,'xx,VERB,1
5,",",PUNCT,25
6,.,PUNCT,9
7,X,PRON,1
8,Xx,PRON,1
9,Xx,VERB,1
10,Xx.,PROPN,1
11,Xxx,DET,1
12,Xxx,VERB,1
13,Xxxx,PROPN,2
14,Xxxxx,ADV,3
15,Xxxxx,PROPN,8
16,Xxxxx,VERB,1
17,other.,PUNCT,20
18,x,DET,2
19,x'x,PART,1
20,xx,ADP,13
21,xx,AUX,1
22,xx,PART,1
23,xx,PRON,1
24,xx,VERB,1
25,xxx,ADP,4
26,xxx,ADV,3
27,xxx,AUX,8
28,xxx,CCONJ,6
29,xxx,DET,21
30,xxx,NOUN,2
31,xxx,NUM,1
32,xxx,PRON,6
33,xxx,VERB,2
34,xxxx,ADJ,13
35,xxxx,ADP,5
36,xxxx,ADV,8
37,xxxx,AUX,2
38,xxxx,DET,1
39,xxxx,NOUN,27
40,xxxx,PRON,8
41,xxxx,VERB,21
42,"xxxx!""""Xxxx",NOUN,1
