,shape,pos,count
0,'x,PART,2
1,",",PUNCT,7
2,.,PUNCT,5
3,Xx,ADP,1
4,Xx,PRON,2
5,Xxx,PRON,1
6,Xxxxx,NOUN,2
7,Xxxxx,VERB,1
8,other.,PUNCT,21
9,other.,SYM,1
10,x,DET,8
11,xx,ADP,10
12,xx,AUX,4
13,xx,CCONJ,2
14,xx,DET,1
15,xx,PART,2
16,xx,PRON,5
17,xx,VERB,5
18,xxx,ADJ,1
19,xxx,ADP,1
20,xxx,ADV,2
21,xxx,AUX,6
22,xxx,CCONJ,6
23,xxx,DET,9
24,xxx,NOUN,2
25,xxx,NUM,1
26,xxx,PART,1
27,xxx,PRON,7
28,xxxx,ADJ,13
29,xxxx,ADP,7
30,xxxx,ADV,3
31,xxxx,AUX,4
32,xxxx,DET,7
33,xxxx,NOUN,41
34,xxxx,SCONJ,1
35,xxxx,VERB,15
