,shape,pos,count
0,'x,PART,3
1,",",PUNCT,3
2,.,PUNCT,24
3,Xx,ADV,2
4,Xx,AUX,1
5,Xx,PRON,5
6,Xxx,CCONJ,3
7,Xxx,DET,5
8,Xxx,PROPN,5
9,Xxxx,ADV,1
10,Xxxx,PRON,2
11,Xxxx,VERB,1
12,Xxxxx,ADV,1
13,Xxxxx,NOUN,4
14,Xxxxx,PRON,2
15,Xxxxx,PROPN,12
16,other.,PUNCT,16
17,x,DET,2
18,x'x,PART,1
19,xx,ADP,12
20,xx,AUX,2
21,xx,PART,5
22,xx,PRON,7
23,xx,VERB,1
24,xxx,ADJ,3
25,xxx,ADV,1
26,xxx,AUX,5
27,xxx,CCONJ,1
28,xxx,DET,6
29,xxx,NOUN,1
30,xxx,PART,2
31,xxx,PRON,3
32,xxx,VERB,4
33,xxxx,ADJ,7
34,xxxx,ADP,4
35,xxxx,ADV,2
36,xxxx,AUX,2
37,xxxx,DET,1
38,xxxx,NOUN,35
39,xxxx,PRON,3
40,xxxx,SCONJ,2
41,xxxx,VERB,30
