,shape,pos,count
0,",",PUNCT,13
1,.,PUNCT,11
2,Xx,ADP,1
3,Xx,PRON,1
4,Xx.,PROPN,1
5,Xxx,DET,1
6,Xxx,PROPN,4
7,Xxxx,DET,1
8,Xxxx,PROPN,2
9,Xxxxx,ADV,2
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,15
12,Xxxxx,SCONJ,1
13,other.,PUNCT,4
14,x,DET,5
15,xx,ADP,16
16,xx,AUX,1
17,xx,PART,1
18,xxx,ADJ,1
19,xxx,AUX,9
20,xxx,CCONJ,2
21,xxx,DET,16
22,xxx,NOUN,4
23,xxx,NUM,1
24,xxx,PRON,1
25,xxx,VERB,1
26,xxxx,ADJ,9
27,xxxx,ADP,5
28,xxxx,ADV,4
29,xxxx,DET,4
30,xxxx,NOUN,29
31,xxxx,NUM,4
32,xxxx,PRON,5
33,xxxx,SCONJ,2
34,xxxx,VERB,19
