,shape,pos,count
0,'x,PART,1
1,",",PUNCT,8
2,.,PUNCT,10
3,Xx,ADP,1
4,Xx,PRON,1
5,Xxx,CCONJ,1
6,Xxx,DET,3
7,Xxx,PROPN,1
8,Xxxx,PRON,3
9,Xxxx,PROPN,2
10,Xxxxx,ADJ,1
11,Xxxxx,PROPN,9
12,x,DET,4
13,xx,ADP,10
14,xx,ADV,2
15,xx,AUX,1
16,xx,PRON,1
17,xxx,ADJ,2
18,xxx,ADV,1
19,xxx,AUX,9
20,xxx,CCONJ,8
21,xxx,DET,20
22,xxx,NOUN,1
23,xxx,NUM,1
24,xxx,PART,2
25,xxx,PRON,2
26,xxx,VERB,3
27,xxxx,ADJ,12
28,xxxx,ADP,4
29,xxxx,ADV,8
30,xxxx,AUX,1
31,xxxx,DET,1
32,xxxx,NOUN,29
33,xxxx,NUM,1
34,xxxx,PRON,7
35,xxxx,SCONJ,3
36,xxxx,VERB,17
