,shape,pos,count
0,"""Xxx",DET,1
1,"""Xxx",INTJ,1
2,'x,PART,2
3,",",PUNCT,12
4,.,PUNCT,11
5,X,PRON,5
6,Xx,ADP,1
7,Xxx,CCONJ,1
8,Xxx,PROPN,3
9,Xxxx,ADV,3
10,Xxxx,DET,1
11,Xxxxx,PROPN,11
12,"dd:dd.""X",NUM,1
13,other.,PUNCT,16
14,x,DET,4
15,xx,ADP,9
16,xx,ADV,1
17,xx,AUX,5
18,xx,PART,5
19,xx,PRON,17
20,xx,VERB,2
21,xxx,ADP,4
22,xxx,AUX,5
23,xxx,CCONJ,4
24,xxx,DET,11
25,xxx,NOUN,2
26,xxx,NUM,1
27,xxx,PRON,4
28,xxx,VERB,2
29,xxxx,ADJ,10
30,xxxx,ADP,4
31,xxxx,ADV,11
32,xxxx,AUX,4
33,xxxx,DET,1
34,xxxx,NOUN,23
35,xxxx,PRON,4
36,xxxx,SCONJ,2
37,xxxx,VERB,28
