,shape,pos,count
0,'x,PART,1
1,",",PUNCT,13
2,.,PUNCT,6
3,Xx,PRON,2
4,Xxx,CCONJ,1
5,Xxx,DET,1
6,Xxxx,ADV,1
7,Xxxx,PROPN,1
8,Xxxxx,ADV,1
9,Xxxxx,PROPN,12
10,other.,PUNCT,2
11,x,DET,2
12,xx,ADP,18
13,xx,ADV,1
14,xx,AUX,1
15,xx,DET,1
16,xx,PART,5
17,xx,PRON,4
18,xx,SCONJ,1
19,xxx,ADJ,1
20,xxx,ADP,2
21,xxx,AUX,7
22,xxx,CCONJ,4
23,xxx,DET,15
24,xxx,NOUN,3
25,xxx,NUM,1
26,xxx,PART,2
27,xxx,PRON,13
28,xxx,VERB,3
29,xxxx,ADJ,5
30,xxxx,ADP,5
31,xxxx,ADV,6
32,xxxx,AUX,3
33,xxxx,DET,3
34,xxxx,NOUN,28
35,xxxx,PRON,3
36,xxxx,VERB,21
