,shape,pos,count
0,"""Xxx",PUNCT,1
1,",",PUNCT,12
2,.,PUNCT,6
3,Xx,ADP,1
4,Xx,PRON,1
5,Xxx,CCONJ,1
6,Xxxx,DET,2
7,Xxxx,PROPN,1
8,Xxxxx,PROPN,6
9,other.,NUM,1
10,other.,PUNCT,4
11,x,DET,7
12,xx,ADP,17
13,xx,ADV,1
14,xx,AUX,6
15,xx,DET,1
16,xx,PART,2
17,xx,PRON,4
18,xx,VERB,4
19,xxx,ADP,3
20,xxx,AUX,2
21,xxx,CCONJ,8
22,xxx,DET,10
23,xxx,NOUN,2
24,xxx,PART,1
25,xxx,PRON,6
26,xxx,VERB,2
27,xxxx,ADJ,14
28,xxxx,ADP,6
29,xxxx,ADV,8
30,xxxx,AUX,1
31,xxxx,DET,4
32,xxxx,NOUN,28
33,xxxx,PRON,2
34,xxxx,SCONJ,2
35,xxxx,VERB,14
