,shape,pos,count
0,'x,PART,1
1,",",PUNCT,3
2,.,PUNCT,13
3,Xx,AUX,1
4,Xx,PART,1
5,Xx,SCONJ,1
6,Xxx,ADJ,1
7,Xxx,CCONJ,1
8,Xxx,DET,2
9,Xxx,VERB,1
10,Xxxx,ADJ,1
11,Xxxx,ADV,1
12,Xxxx,DET,2
13,Xxxxx,ADV,1
14,other.,PUNCT,1
15,x,DET,2
16,x'x,PART,1
17,xx,ADP,10
18,xx,AUX,2
19,xx,CCONJ,2
20,xx,PART,9
21,xx,PRON,3
22,xx,VERB,2
23,xxx,ADJ,4
24,xxx,ADP,2
25,xxx,ADV,1
26,xxx,AUX,4
27,xxx,CCONJ,3
28,xxx,DET,16
29,xxx,NOUN,1
30,xxx,PART,1
31,xxx,PRON,7
32,xxx,VERB,5
33,xxxx,ADJ,12
34,xxxx,ADP,5
35,xxxx,ADV,8
36,xxxx,AUX,3
37,xxxx,DET,3
38,xxxx,NOUN,30
39,xxxx,SCONJ,1
40,xxxx,VERB,23
