,shape,pos,count
0,",",PUNCT,19
1,.,PUNCT,12
2,X,NOUN,3
3,X,PROPN,1
4,XXX,PROPN,1
5,Xx,ADP,1
6,Xx,PRON,1
7,Xxx,ADP,1
8,Xxx,DET,1
9,Xxx,PRON,1
10,Xxxx,ADJ,1
11,Xxxx,DET,1
12,Xxxx,PROPN,1
13,Xxxxx,ADJ,4
14,Xxxxx,ADV,1
15,Xxxxx,PROPN,2
16,dX,NOUN,2
17,other.,NUM,1
18,other.,PUNCT,18
19,x,DET,8
20,xx,ADP,7
21,xx,ADV,1
22,xx,AUX,5
23,xx,CCONJ,8
24,xx,PART,7
25,xx,PRON,2
26,xx,SCONJ,1
27,xx,VERB,2
28,xxx,AUX,5
29,xxx,CCONJ,8
30,xxx,DET,4
31,xxx,NOUN,3
32,xxx,PART,2
33,xxx,VERB,3
34,xxxx,ADJ,17
35,xxxx,ADP,3
36,xxxx,ADV,6
37,xxxx,DET,3
38,xxxx,NOUN,47
39,xxxx,NUM,5
40,xxxx,PRON,1
41,xxxx,VERB,24
42,xxxx).X,NOUN,1
43,xxxx.dX,PROPN,1
