,shape,pos,count
0,'x,PART,1
1,",",PUNCT,12
2,.,PUNCT,11
3,Xx,ADP,2
4,Xxx,DET,2
5,Xxxx,ADP,1
6,Xxxx,DET,1
7,Xxxxx,ADJ,1
8,Xxxxx,ADP,1
9,Xxxxx,DET,1
10,Xxxxx,NOUN,2
11,x,DET,4
12,xx,ADP,13
13,xx,ADV,1
14,xx,AUX,5
15,xx,PRON,4
16,xx,VERB,1
17,xxx,ADV,2
18,xxx,AUX,4
19,xxx,CCONJ,6
20,xxx,DET,9
21,xxx,NOUN,8
22,xxx,PART,1
23,xxx,PRON,2
24,xxx,VERB,1
25,xxxx,ADJ,14
26,xxxx,ADP,9
27,xxxx,ADV,12
28,xxxx,DET,3
29,xxxx,NOUN,44
30,xxxx,NUM,1
31,xxxx,PRON,2
32,xxxx,SCONJ,1
33,xxxx,VERB,19
34,xxxx.d.d,VERB,1
