,shape,pos,count
0,",",PUNCT,9
1,.,PUNCT,8
2,Xxx,PRON,1
3,Xxxx,ADJ,1
4,Xxxx,ADV,1
5,Xxxx,DET,1
6,Xxxx,INTJ,1
7,Xxxx,NOUN,1
8,Xxxxx,ADV,1
9,Xxxxx,NOUN,1
10,Xxxxx,SCONJ,1
11,other.,NUM,1
12,other.,PUNCT,8
13,x,DET,5
14,xx,ADP,10
15,xx,ADV,1
16,xx,AUX,4
17,xx,CCONJ,1
18,xx,DET,1
19,xx,PART,2
20,xx,VERB,3
21,xxx,ADJ,1
22,xxx,ADP,6
23,xxx,AUX,5
24,xxx,CCONJ,7
25,xxx,DET,5
26,xxx,NOUN,2
27,xxx,PART,1
28,xxx,PRON,1
29,xxx,VERB,2
30,xxxx,ADJ,23
31,xxxx,ADP,2
32,xxxx,ADV,10
33,xxxx,AUX,2
34,xxxx,DET,3
35,xxxx,NOUN,40
36,xxxx,PRON,6
37,xxxx,SCONJ,6
38,xxxx,VERB,21
