,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,8
2,XXX,PROPN,2
3,Xxx,DET,1
4,Xxx,PART,1
5,Xxxx,ADV,1
6,Xxxx,DET,1
7,Xxxxx,ADJ,1
8,Xxxxx,DET,1
9,Xxxxx,NOUN,1
10,Xxxxx,SCONJ,1
11,other.,PUNCT,3
12,x,DET,4
13,xXXX,PROPN,1
14,xx,ADP,21
15,xx,ADV,1
16,xx,AUX,6
17,xx,CCONJ,2
18,xx,PART,3
19,xx,PRON,3
20,xx,VERB,1
21,xxx,ADV,2
22,xxx,AUX,5
23,xxx,CCONJ,3
24,xxx,DET,12
25,xxx,PART,1
26,xxx,PRON,2
27,xxx,VERB,4
28,xxxx,ADJ,18
29,xxxx,ADP,6
30,xxxx,ADV,6
31,xxxx,AUX,2
32,xxxx,DET,4
33,xxxx,NOUN,49
34,xxxx,PRON,2
35,xxxx,VERB,22
