,shape,pos,count
0,"""Xxxxx",INTJ,1
1,'x,PART,1
2,",",PUNCT,13
3,.,PUNCT,10
4,X,DET,1
5,Xx,ADP,1
6,Xx,PRON,2
7,Xxx,DET,2
8,Xxxx,PROPN,4
9,Xxxxx,ADV,1
10,Xxxxx,PROPN,3
11,ddddx,NOUN,1
12,other.,NUM,3
13,other.,PUNCT,6
14,other.,SYM,1
15,x,DET,5
16,xx,ADP,17
17,xx,CCONJ,2
18,xx,DET,1
19,xx,PART,3
20,xx,PRON,6
21,xx,SCONJ,2
22,xx,VERB,1
23,xxx,ADJ,6
24,xxx,ADP,2
25,xxx,ADV,1
26,xxx,AUX,4
27,xxx,CCONJ,6
28,xxx,DET,14
29,xxx,NOUN,2
30,xxx,PART,1
31,xxx,PRON,1
32,xxx,VERB,1
33,xxxx,ADJ,12
34,xxxx,ADP,2
35,xxxx,ADV,10
36,xxxx,AUX,6
37,xxxx,DET,4
38,xxxx,NOUN,37
39,xxxx,PRON,7
40,xxxx,SCONJ,1
41,xxxx,VERB,26
