,shape,pos,count
0,"""X'x",VERB,1
1,'x,AUX,1
2,'x,VERB,1
3,'xx,AUX,1
4,",",PUNCT,12
5,.,PUNCT,6
6,X,PRON,5
7,Xx,PRON,1
8,Xxx,PROPN,1
9,Xxxx,ADV,1
10,Xxxx,PRON,2
11,Xxxx,PROPN,3
12,Xxxx'xxxx,PROPN,1
13,Xxxxx,AUX,1
14,Xxxxx,PROPN,7
15,other.,PUNCT,13
16,x,DET,6
17,x,NOUN,2
18,x'x,PART,1
19,xx,ADP,15
20,xx,AUX,2
21,xx,PART,2
22,xx,PRON,9
23,xx,VERB,1
24,xx',ADJ,1
25,xxx,ADJ,2
26,xxx,ADP,3
27,xxx,ADV,2
28,xxx,AUX,7
29,xxx,CCONJ,9
30,xxx,DET,12
31,xxx,INTJ,1
32,xxx,NOUN,3
33,xxx,PRON,1
34,xxx,VERB,4
35,xxxx,ADJ,13
36,xxxx,ADP,5
37,xxxx,ADV,5
38,xxxx,DET,11
39,xxxx,NOUN,27
40,xxxx,PRON,3
41,xxxx,SCONJ,2
42,xxxx,VERB,23
43,xxxx',VERB,1
44,xxxx'xxx,ADJ,1
