,shape,pos,count
0,'x,PART,1
1,",",PUNCT,22
2,.,PUNCT,8
3,X,PRON,1
4,Xx,ADP,1
5,Xx,PRON,1
6,Xxx,CCONJ,1
7,Xxx,PRON,1
8,Xxxx,ADP,1
9,Xxxx,ADV,1
10,Xxxx,PRON,1
11,Xxxxx,ADP,1
12,other.,NUM,1
13,other.,PUNCT,8
14,x,DET,10
15,x'x,PART,1
16,xx,ADP,10
17,xx,AUX,7
18,xx,CCONJ,1
19,xx,DET,1
20,xx,PRON,4
21,xx,VERB,2
22,xxx,ADV,2
23,xxx,AUX,3
24,xxx,CCONJ,7
25,xxx,DET,10
26,xxx,NOUN,3
27,xxx,NUM,1
28,xxx,PART,3
29,xxx,PRON,6
30,xxx,VERB,4
31,xxxx,ADJ,22
32,xxxx,ADP,7
33,xxxx,ADV,15
34,xxxx,NOUN,36
35,xxxx,NUM,2
36,xxxx,PRON,9
37,xxxx,SCONJ,2
38,xxxx,VERB,18
