,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,14
2,Xx,ADP,1
3,Xx,PRON,4
4,Xxx,DET,5
5,Xxx,PRON,1
6,Xxxx,ADV,2
7,Xxxx,DET,1
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,4
10,other.,PUNCT,4
11,x,DET,6
12,xx,ADP,18
13,xx,ADV,3
14,xx,CCONJ,2
15,xx,DET,4
16,xx,PART,2
17,xx,PRON,4
18,xx,SCONJ,1
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADP,6
22,xxx,AUX,6
23,xxx,CCONJ,5
24,xxx,DET,7
25,xxx,NOUN,1
26,xxx,NUM,1
27,xxx,PART,2
28,xxx,PRON,3
29,xxx,VERB,4
30,xxxx,ADJ,18
31,xxxx,ADP,2
32,xxxx,ADV,9
33,xxxx,AUX,8
34,xxxx,DET,5
35,xxxx,NOUN,32
36,xxxx,PRON,6
37,xxxx,SCONJ,4
38,xxxx,VERB,17
