,shape,pos,count
0,"""—""Xx",PUNCT,1
1,'xx,AUX,1
2,",",PUNCT,16
3,.,PUNCT,9
4,X,PRON,12
5,X.Xx,PROPN,1
6,Xx,ADP,1
7,Xxx,NUM,1
8,Xxx,PROPN,1
9,Xxxx,PROPN,2
10,Xxxxx,DET,1
11,Xxxxx,PROPN,5
12,other.,PUNCT,9
13,x,DET,11
14,xx,ADP,15
15,xx,DET,1
16,xx,PART,2
17,xx,PRON,8
18,xxx,ADJ,1
19,xxx,ADP,7
20,xxx,AUX,7
21,xxx,CCONJ,7
22,xxx,DET,7
23,xxx,NOUN,3
24,xxx,NUM,1
25,xxx,PART,2
26,xxx,PRON,2
27,xxx,VERB,5
28,xxxx,ADJ,16
29,xxxx,ADP,9
30,xxxx,ADV,9
31,xxxx,AUX,1
32,xxxx,DET,2
33,xxxx,NOUN,30
34,xxxx,NUM,2
35,xxxx,PRON,1
36,xxxx,SCONJ,1
37,xxxx,VERB,23
