,shape,pos,count
0,'x,VERB,1
1,'xx,AUX,2
2,",",PUNCT,11
3,.,PUNCT,8
4,X,PRON,8
5,Xx,ADV,1
6,Xxx,CCONJ,1
7,Xxx,VERB,1
8,Xxxx,DET,1
9,Xxxxx,ADV,2
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,2
12,other.,NUM,1
13,other.,PUNCT,2
14,x,DET,2
15,x'x,PART,1
16,xx,ADP,14
17,xx,AUX,7
18,xx,CCONJ,1
19,xx,DET,1
20,xx,PART,5
21,xx,PRON,4
22,xx,VERB,1
23,xxx,ADP,3
24,xxx,CCONJ,1
25,xxx,DET,7
26,xxx,NOUN,1
27,xxx,PART,2
28,xxx,PRON,6
29,xxx,VERB,2
30,xxxx,ADJ,9
31,xxxx,ADP,2
32,xxxx,ADV,9
33,xxxx,AUX,1
34,xxxx,DET,8
35,xxxx,NOUN,27
36,xxxx,PRON,3
37,xxxx,SCONJ,3
38,xxxx,VERB,18
