,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,12
2,X,PRON,1
3,Xx,INTJ,1
4,Xxx,NUM,1
5,Xxx,PRON,2
6,Xxxx,ADJ,1
7,Xxxx,ADV,1
8,Xxxx,PRON,2
9,Xxxx,PROPN,6
10,Xxxxx,ADV,1
11,Xxxxx,NOUN,1
12,Xxxxx,PROPN,19
13,other.,PUNCT,12
14,x,DET,1
15,xx,ADP,2
16,xx,ADV,1
17,xx,PART,7
18,xx,PRON,1
19,xxx,ADP,3
20,xxx,ADV,1
21,xxx,AUX,6
22,xxx,CCONJ,4
23,xxx,DET,4
24,xxx,NOUN,2
25,xxx,PART,1
26,xxx,PRON,5
27,xxx,VERB,4
28,xxxx,ADJ,7
29,xxxx,ADP,2
30,xxxx,ADV,8
31,xxxx,AUX,5
32,xxxx,DET,3
33,xxxx,NOUN,14
34,xxxx,PRON,3
35,xxxx,SCONJ,2
36,xxxx,VERB,23
