,shape,pos,count
0,'x,PART,1
1,",",PUNCT,16
2,.,PUNCT,6
3,X,DET,1
4,Xx,SCONJ,1
5,Xxx,DET,2
6,Xxxx,PROPN,2
7,Xxxxx,ADV,1
8,Xxxxx,PRON,1
9,other.,PUNCT,2
10,x,DET,4
11,x'xxxx,NOUN,1
12,xx,ADP,10
13,xx,DET,1
14,xx,PART,2
15,xx,PRON,5
16,xxx,ADJ,2
17,xxx,ADP,1
18,xxx,AUX,2
19,xxx,CCONJ,13
20,xxx,DET,10
21,xxx,NOUN,1
22,xxx,NUM,1
23,xxx,PRON,4
24,xxx,VERB,1
25,xxxx,ADJ,9
26,xxxx,ADP,5
27,xxxx,ADV,15
28,xxxx,AUX,1
29,xxxx,DET,3
30,xxxx,NOUN,22
31,xxxx,NUM,1
32,xxxx,PRON,1
33,xxxx,SCONJ,2
34,xxxx,VERB,27
35,xxxx!Xxx,PROPN,1
