,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,7
2,X,DET,1
3,XXX,PROPN,1
4,Xx,ADP,2
5,Xxx,ADV,1
6,Xxxx,ADV,2
7,Xxxx,VERB,1
8,Xxxxx,ADV,1
9,other.,PUNCT,7
10,x,DET,4
11,x,NOUN,1
12,x,PRON,1
13,xx,ADP,16
14,xx,ADV,2
15,xx,AUX,9
16,xx,CCONJ,1
17,xx,DET,2
18,xx,PRON,6
19,xxx,ADV,1
20,xxx,AUX,5
21,xxx,CCONJ,1
22,xxx,DET,25
23,xxx,NOUN,2
24,xxx,PART,2
25,xxx,PROPN,1
26,xxx,VERB,4
27,xxxx,ADJ,8
28,xxxx,ADP,11
29,xxxx,ADV,7
30,xxxx,AUX,1
31,xxxx,DET,6
32,xxxx,NOUN,50
33,xxxx,PRON,2
34,xxxx,SCONJ,1
35,xxxx,VERB,18
