,shape,pos,count
0,'x,PART,2
1,",",PUNCT,14
2,.,NUM,1
3,.,PUNCT,14
4,Xx,ADP,3
5,Xxx,CCONJ,1
6,Xxx,DET,5
7,Xxxx,PROPN,1
8,Xxxxx,ADJ,1
9,Xxxxx,ADP,1
10,Xxxxx,ADV,1
11,Xxxxx,PRON,1
12,Xxxxx,PROPN,21
13,Xxxxx,SCONJ,2
14,other.,NUM,9
15,other.,PUNCT,4
16,xx,ADP,20
17,xx,ADV,1
18,xx,DET,2
19,xxx,ADP,1
20,xxx,ADV,1
21,xxx,AUX,2
22,xxx,CCONJ,3
23,xxx,DET,23
24,xxx,NOUN,4
25,xxx,NUM,2
26,xxx,PART,1
27,xxx,PRON,4
28,xxx,VERB,4
29,xxxx,ADJ,12
30,xxxx,ADP,2
31,xxxx,ADV,7
32,xxxx,AUX,3
33,xxxx,DET,3
34,xxxx,NOUN,41
35,xxxx,NUM,4
36,xxxx,VERB,9
