,shape,pos,count
0,"""Xxxx",VERB,1
1,",",PUNCT,12
2,.,PUNCT,8
3,Xxx,DET,2
4,Xxx,PROPN,1
5,Xxxx,ADV,1
6,Xxxx,DET,2
7,Xxxx,PROPN,2
8,Xxxxx,PROPN,2
9,Xxxxx,SCONJ,1
10,other.,PUNCT,6
11,x,DET,4
12,xx,ADP,15
13,xx,ADV,1
14,xx,AUX,1
15,xx,DET,1
16,xx,NOUN,1
17,xx,PART,1
18,xx,PRON,2
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADV,2
22,xxx,AUX,2
23,xxx,CCONJ,7
24,xxx,DET,16
25,xxx,NOUN,4
26,xxx,NUM,1
27,xxx,PART,2
28,xxx,VERB,4
29,xxxx,ADJ,14
30,xxxx,ADP,8
31,xxxx,ADV,4
32,xxxx,AUX,6
33,xxxx,DET,4
34,xxxx,NOUN,33
35,xxxx,NUM,1
36,xxxx,PRON,2
37,xxxx,SCONJ,2
38,xxxx,VERB,21
