,shape,pos,count
0,'x,PART,2
1,",",PUNCT,14
2,.,PUNCT,8
3,Xx,PART,1
4,Xx,PRON,1
5,Xxx,DET,3
6,Xxx,PROPN,1
7,Xxxx,ADV,1
8,Xxxx,PROPN,1
9,Xxxxx,ADV,1
10,Xxxxx,PROPN,11
11,dxx,NOUN,1
12,other.,PUNCT,2
13,x,DET,6
14,xx,ADP,5
15,xx,ADV,1
16,xx,DET,3
17,xx,PART,2
18,xx,PRON,5
19,xx,SCONJ,1
20,xx,VERB,3
21,xxx,ADJ,1
22,xxx,ADP,4
23,xxx,ADV,1
24,xxx,AUX,2
25,xxx,CCONJ,14
26,xxx,DET,7
27,xxx,NOUN,3
28,xxx,PRON,4
29,xxx,VERB,4
30,xxxx,ADJ,7
31,xxxx,ADP,7
32,xxxx,ADV,7
33,xxxx,AUX,7
34,xxxx,DET,3
35,xxxx,NOUN,29
36,xxxx,PRON,5
37,xxxx,PROPN,1
38,xxxx,SCONJ,1
39,xxxx,VERB,19
