,shape,pos,count
0,'x,PART,1
1,",",PUNCT,14
2,.,PUNCT,5
3,Xxx,DET,1
4,Xxx,NOUN,1
5,Xxx,NUM,1
6,Xxx,PRON,1
7,Xxx,PROPN,2
8,Xxxx,INTJ,1
9,Xxxxx,PROPN,2
10,other.,PUNCT,8
11,x,DET,5
12,xx,ADP,7
13,xx,INTJ,1
14,xx,PART,4
15,xx,PRON,1
16,xx,VERB,1
17,xxx,ADJ,1
18,xxx,ADP,2
19,xxx,ADV,1
20,xxx,AUX,3
21,xxx,CCONJ,11
22,xxx,DET,8
23,xxx,NOUN,7
24,xxx,NUM,1
25,xxx,PRON,12
26,xxx,VERB,2
27,xxxx,ADJ,15
28,xxxx,ADP,4
29,xxxx,ADV,9
30,xxxx,AUX,2
31,xxxx,DET,1
32,xxxx,NOUN,22
33,xxxx,PRON,1
34,xxxx,SCONJ,2
35,xxxx,VERB,25
36,xxxx!Xxxx,PROPN,1
