,shape,pos,count
0,'x,PART,2
1,",",PUNCT,7
2,.,PUNCT,8
3,Xxx,DET,3
4,Xxx,NUM,1
5,Xxx,PART,1
6,Xxxxx,ADV,1
7,Xxxxx,NOUN,1
8,Xxxxx,PROPN,5
9,Xxxxx,VERB,1
10,dddd.Xxx,NUM,1
11,other.,NUM,3
12,other.,SYM,2
13,x,DET,4
14,x,SYM,1
15,xx,ADP,14
16,xx,AUX,1
17,xx,PART,1
18,xx,PRON,3
19,xxx,ADP,4
20,xxx,AUX,5
21,xxx,CCONJ,8
22,xxx,DET,15
23,xxx,PRON,3
24,xxx,VERB,2
25,xxxx,ADJ,13
26,xxxx,ADP,5
27,xxxx,ADV,7
28,xxxx,AUX,5
29,xxxx,DET,9
30,xxxx,NOUN,38
31,xxxx,NUM,1
32,xxxx,PRON,2
33,xxxx,SCONJ,1
34,xxxx,VERB,13
