,shape,pos,count
0,",",PUNCT,13
1,.,PUNCT,9
2,Xx,ADP,2
3,Xx,PART,1
4,Xx,SCONJ,2
5,XxX,PROPN,4
6,Xxx,AUX,1
7,Xxx,DET,2
8,Xxxxx,ADV,1
9,Xxxxx,SCONJ,1
10,other.,PUNCT,4
11,x,DET,5
12,xx,ADP,9
13,xx,AUX,3
14,xx,CCONJ,4
15,xx,PART,6
16,xx,PRON,3
17,xx,VERB,4
18,xxx,ADJ,2
19,xxx,ADV,1
20,xxx,AUX,6
21,xxx,CCONJ,3
22,xxx,DET,13
23,xxx,PART,1
24,xxx,PRON,8
25,xxx,VERB,2
26,xxxx,ADJ,20
27,xxxx,ADP,7
28,xxxx,ADV,6
29,xxxx,AUX,5
30,xxxx,DET,7
31,xxxx,NOUN,47
32,xxxx,PRON,3
33,xxxx,SCONJ,3
34,xxxx,VERB,19
35,xxxx(x,PROPN,1
